,Name,ID,Position,Link,Start Year,End Year
184,Pete Alexander,1000128,P,statss.aspx?playerid=1000128&position=P,1911,1930
185,Walt Alexander,1000129,C,statss.aspx?playerid=1000129&position=C,1912,1917
186,Jason Alfaro,2388,SS,statss.aspx?playerid=2388&position=SS,2004,2004
187,Jorge Alfaro,12180,C,statss.aspx?playerid=12180&position=C,2016,2018
188,Antonio Alfonseca,260,P,statss.aspx?playerid=260&position=P,1997,2007
189,Eliezer Alfonzo,2331,C,statss.aspx?playerid=2331&position=C,2006,2011
190,Edgardo Alfonzo,859,2B/3B,statss.aspx?playerid=859&position=2B/3B,1995,2006
191,Anthony Alford,14329,OF,statss.aspx?playerid=14329&position=OF,2017,2018
192,Luis Alicea,584,2B,statss.aspx?playerid=584&position=2B,1988,2002
193,Andy Allanson,1000130,C,statss.aspx?playerid=1000130&position=C,1986,1995
194,Kolby Allard,18694,P,statss.aspx?playerid=18694&position=P,2018,2018
195,Brian Allard,1000131,P,statss.aspx?playerid=1000131&position=P,1979,1981
196,Brandon Allen,7436,1B,statss.aspx?playerid=7436&position=1B,2009,2012
197,Luke Allen,1586,OF,statss.aspx?playerid=1586&position=OF,2002,2003
198,Chad Allen,122,OF,statss.aspx?playerid=122&position=OF,1999,2005
199,Cody Allen,12183,P,statss.aspx?playerid=12183&position=P,2012,2018
200,Bernie Allen,1000132,2B,statss.aspx?playerid=1000132&position=2B,1962,1973
201,Bob Allen,1000133,SS,statss.aspx?playerid=1000133&position=SS,1890,1900
202,Bob Allen,1000134,OF,statss.aspx?playerid=1000134&position=OF,1919,1919
203,Bob Allen,1000135,P,statss.aspx?playerid=1000135&position=P,1937,1937
204,Bob Allen,1000136,P,statss.aspx?playerid=1000136&position=P,1961,1967
205,Dick Allen,1000137,1B/3B,statss.aspx?playerid=1000137&position=1B/3B,1963,1977
206,Dusty Allen,1000138,1B,statss.aspx?playerid=1000138&position=1B,2000,2000
207,Ethan Allen,1000139,OF,statss.aspx?playerid=1000139&position=OF,1926,1938
208,Frank Allen,1000140,P,statss.aspx?playerid=1000140&position=P,1912,1917
209,Ham Allen,1000142,SS/OF,statss.aspx?playerid=1000142&position=SS/OF,1872,?
210,Hank Allen,1000143,OF,statss.aspx?playerid=1000143&position=OF,1966,1973
211,Hezekiah Allen,1000144,C,statss.aspx?playerid=1000144&position=C,1884,1884
212,Horace Allen,1000145,OF,statss.aspx?playerid=1000145&position=OF,1919,1919
213,Jack Allen,1000146,3B,statss.aspx?playerid=1000146&position=3B,1879,?
214,Jamie Allen,1000147,3B,statss.aspx?playerid=1000147&position=3B,1983,1983
215,John Allen,1000149,P,statss.aspx?playerid=1000149&position=P,1914,1914
216,Johnny Allen,1000150,P,statss.aspx?playerid=1000150&position=P,1932,1944
217,Kim Allen,1000151,2B,statss.aspx?playerid=1000151&position=2B,1980,1981
218,Lloyd Allen,1000152,P,statss.aspx?playerid=1000152&position=P,1969,1975
219,Myron Allen,1000153,OF,statss.aspx?playerid=1000153&position=OF,1883,1888
220,Neil Allen,1000154,P,statss.aspx?playerid=1000154&position=P,1979,1989
221,Nick Allen,1000155,C,statss.aspx?playerid=1000155&position=C,1914,1920
222,Pete Allen,1000156,C,statss.aspx?playerid=1000156&position=C,1893,1893
223,Ron Allen,1000157,1B,statss.aspx?playerid=1000157&position=1B,1972,1972
224,Rod Allen,1000158,DH,statss.aspx?playerid=1000158&position=DH,1983,1988
225,Sled Allen,1000159,C,statss.aspx?playerid=1000159&position=C,1910,1910
226,Greg Allen,16623,OF,statss.aspx?playerid=16623&position=OF,2017,2018
227,Gary Allenson,1000141,C,statss.aspx?playerid=1000141&position=C,1979,1985
228,Jermaine Allensworth,1000148,OF,statss.aspx?playerid=1000148&position=OF,1996,1999
229,Gene Alley,1000160,SS,statss.aspx?playerid=1000160&position=SS,1963,1973
230,Gair Allie,1000162,SS,statss.aspx?playerid=1000162&position=SS,1954,1954
231,Bob Allietta,1000161,C,statss.aspx?playerid=1000161&position=C,1975,1975
232,Andy Allison,1000163,1B,statss.aspx?playerid=1000163&position=1B,1872,?
233,Art Allison,1000164,OF,statss.aspx?playerid=1000164&position=OF,1871,?
234,Bill Allison,1000165,1B/OF,statss.aspx?playerid=1000165&position=1B/OF,1872,?
235,Bob Allison,1000166,OF,statss.aspx?playerid=1000166&position=OF,1958,1970
236,Dana Allison,1000167,P,statss.aspx?playerid=1000167&position=P,1991,1991
237,Doug Allison,1000168,C,statss.aspx?playerid=1000168&position=C,1871,1883
238,Mack Allison,1000169,P,statss.aspx?playerid=1000169&position=P,1911,1913
239,Milo Allison,1000170,OF,statss.aspx?playerid=1000170&position=OF,1913,1917
240,Beau Allred,1000171,OF,statss.aspx?playerid=1000171&position=OF,1989,1991
241,Mel Almada,1000172,OF,statss.aspx?playerid=1000172&position=OF,1933,1939
242,Armando Almanza,507,P,statss.aspx?playerid=507&position=P,1999,2005
243,Carlos Almanzar,308,P,statss.aspx?playerid=308&position=P,1997,2005
244,Rafael Almeida,1000173,3B,statss.aspx?playerid=1000173&position=3B,1911,1913
245,Bill Almon,1000174,SS,statss.aspx?playerid=1000174&position=SS,1974,1988
246,Erick Almonte,808,SS,statss.aspx?playerid=808&position=SS,2001,2011
247,Miguel Almonte,14139,P,statss.aspx?playerid=14139&position=P,2015,2018
248,Zoilo Almonte,6732,OF,statss.aspx?playerid=6732&position=OF,2013,2014
249,Abraham Almonte,5486,OF,statss.aspx?playerid=5486&position=OF,2013,2018
250,Hector Almonte,1729,P,statss.aspx?playerid=1729&position=P,1999,2003
251,Yency Almonte,15068,P,statss.aspx?playerid=15068&position=P,2018,2018
252,Edwin Almonte,1764,P,statss.aspx?playerid=1764&position=P,2003,2003
253,Albert Almora Jr.,14109,OF,statss.aspx?playerid=14109&position=OF,2016,2018
254,Luis Aloma,1000175,P,statss.aspx?playerid=1000175&position=P,1950,1953
255,Roberto Alomar,860,2B,statss.aspx?playerid=860&position=2B,1988,2004
256,Sandy Alomar,1000176,2B,statss.aspx?playerid=1000176&position=2B,1964,1978
257,Sandy Alomar Jr.,221,C,statss.aspx?playerid=221&position=C,1988,2007
258,Yonder Alonso,2530,1B,statss.aspx?playerid=2530&position=1B,2010,2018
259,Moises Alou,261,OF,statss.aspx?playerid=261&position=OF,1990,2008
260,Felipe Alou,1000177,OF,statss.aspx?playerid=1000177&position=OF,1958,1974
261,Jesus Alou,1000178,OF,statss.aspx?playerid=1000178&position=OF,1963,1979
262,Matty Alou,1000179,OF,statss.aspx?playerid=1000179&position=OF,1960,1974
263,Whitey Alperman,1000180,2B,statss.aspx?playerid=1000180&position=2B,1906,1909
264,Dell Alston,1000181,OF,statss.aspx?playerid=1000181&position=OF,1977,1980
265,Garvin Alston,1000182,P,statss.aspx?playerid=1000182&position=P,1996,1996
266,Tom Alston,1000183,1B,statss.aspx?playerid=1000183&position=1B,1954,1957
267,Walter Alston,1000184,1B,statss.aspx?playerid=1000184&position=1B,1936,1936
268,Porfi Altamirano,1000185,P,statss.aspx?playerid=1000185&position=P,1982,1984
269,Dan Altavilla,16507,P,statss.aspx?playerid=16507&position=P,2016,2018
270,Ernie Alten,1000186,P,statss.aspx?playerid=1000186&position=P,1920,1920
271,Jesse Altenburg,1000187,OF,statss.aspx?playerid=1000187&position=OF,1916,1917
272,Aaron Altherr,11270,OF,statss.aspx?playerid=11270&position=OF,2014,2018
273,Dave Altizer,1000188,SS,statss.aspx?playerid=1000188&position=SS,1906,1911
274,George Altman,1000189,OF,statss.aspx?playerid=1000189&position=OF,1959,1967
275,Joe Altobelli,1000190,1B,statss.aspx?playerid=1000190&position=1B,1955,1961
276,Nick Altrock,1000191,P,statss.aspx?playerid=1000191&position=P,1898,1933
277,Jose Altuve,5417,2B,statss.aspx?playerid=5417&position=2B,2011,2018
278,George Alusik,1000192,OF,statss.aspx?playerid=1000192&position=OF,1958,1964
279,Luis Alvarado,1000196,2B/SS,statss.aspx?playerid=1000196&position=2B/SS,1968,1977
280,Jose Alvarado,17780,P,statss.aspx?playerid=17780&position=P,2017,2018
281,Clemente Alvarez,1000193,C,statss.aspx?playerid=1000193&position=C,2000,2000
282,Gabe Alvarez,1000194,3B,statss.aspx?playerid=1000194&position=3B,1998,2000
283,Jose Alvarez,1000195,P,statss.aspx?playerid=1000195&position=P,1981,1989
284,Orlando Alvarez,1000197,OF,statss.aspx?playerid=1000197&position=OF,1973,1976
285,Ossie Alvarez,1000198,SS,statss.aspx?playerid=1000198&position=SS,1958,1959
286,Rogelio Alvarez,1000199,1B,statss.aspx?playerid=1000199&position=1B,1960,1962
287,Tavo Alvarez,1000200,P,statss.aspx?playerid=1000200&position=P,1995,1996
288,Victor Alvarez,1559,P,statss.aspx?playerid=1559&position=P,2002,2003
289,Henderson Alvarez,5669,P,statss.aspx?playerid=5669&position=P,2011,2017
290,Tony Alvarez,1587,OF,statss.aspx?playerid=1587&position=OF,2002,2004
291,R.J. Alvarez,13401,P,statss.aspx?playerid=13401&position=P,2014,2015
292,Abe Alvarez,6259,P,statss.aspx?playerid=6259&position=P,2004,2006
293,Juan Alvarez,1432,P,statss.aspx?playerid=1432&position=P,1999,2003
294,Dario Alvarez,14239,P,statss.aspx?playerid=14239&position=P,2014,2017
295,Wilson Alvarez,1193,P,statss.aspx?playerid=1193&position=P,1989,2005
296,Pedro Alvarez,2495,3B,statss.aspx?playerid=2495&position=3B,2010,2018
297,Dariel Alvarez,15580,OF,statss.aspx?playerid=15580&position=OF,2015,2016
298,Jose Alvarez,5358,P,statss.aspx?playerid=5358&position=P,2013,2018
299,Max Alvis,1000201,3B,statss.aspx?playerid=1000201&position=3B,1962,1970
300,Billy Alvord,1000202,3B,statss.aspx?playerid=1000202&position=3B,1885,1893
301,Brant Alyea,1000203,OF,statss.aspx?playerid=1000203&position=OF,1965,1972
302,Joey Amalfitano,1000204,2B,statss.aspx?playerid=1000204&position=2B,1954,1967
303,Rich Amaral,1000205,OF,statss.aspx?playerid=1000205&position=OF,1991,2000
304,Alexi Amarista,9063,2B/SS/OF,statss.aspx?playerid=9063&position=2B/SS/OF,2011,2017
305,Ruben Amaro,1000206,SS,statss.aspx?playerid=1000206&position=SS,1958,1969
306,Ruben Amaro,1000207,OF,statss.aspx?playerid=1000207&position=OF,1991,1998
307,Wayne Ambler,1000208,2B/SS,statss.aspx?playerid=1000208&position=2B/SS,1937,1939
308,Chip Ambres,2042,OF,statss.aspx?playerid=2042&position=OF,2005,2008
309,Hector Ambriz,559,P,statss.aspx?playerid=559&position=P,2010,2014
310,Ed Amelung,1000209,OF,statss.aspx?playerid=1000209&position=OF,1984,1986
311,Red Ames,1000210,P,statss.aspx?playerid=1000210&position=P,1903,1919
312,Steven Ames,9615,P,statss.aspx?playerid=9615&position=P,2013,2013
313,Alfredo Amezaga,1,OF,statss.aspx?playerid=1&position=OF,2002,2011
314,Doc Amole,1000211,P,statss.aspx?playerid=1000211&position=P,1897,1898
315,Vicente Amor,1000213,P,statss.aspx?playerid=1000213&position=P,1955,1957
316,Sandy Amoros,1000212,OF,statss.aspx?playerid=1000212&position=OF,1952,1960
317,Walter Ancker,1000214,P,statss.aspx?playerid=1000214&position=P,1915,1915
318,Larry Andersen,1000236,P,statss.aspx?playerid=1000236&position=P,1975,1994
319,Brian Anderson,6144,OF,statss.aspx?playerid=6144&position=OF,2005,2009
320,Garret Anderson,2,OF,statss.aspx?playerid=2&position=OF,1994,2010
321,Alf Anderson,1000215,SS,statss.aspx?playerid=1000215&position=SS,1941,1946
322,Allan Anderson,1000216,P,statss.aspx?playerid=1000216&position=P,1986,1991
323,Andy Anderson,1000217,2B/SS,statss.aspx?playerid=1000217&position=2B/SS,1948,1949
324,Drew Anderson,15130,P,statss.aspx?playerid=15130&position=P,2017,2018
325,Bill Anderson,1000218,P,statss.aspx?playerid=1000218&position=P,1925,1925
326,Bob Anderson,1000219,P,statss.aspx?playerid=1000219&position=P,1957,1963
327,Bud Anderson,1000220,P,statss.aspx?playerid=1000220&position=P,1982,1983
328,Craig Anderson,1000221,P,statss.aspx?playerid=1000221&position=P,1961,1964
329,Dave Anderson,1000222,P,statss.aspx?playerid=1000222&position=P,1889,1890
330,Brett Anderson,8223,P,statss.aspx?playerid=8223&position=P,2009,2018
331,Dave Anderson,1000223,3B/SS,statss.aspx?playerid=1000223&position=3B/SS,1983,1992
